Li,Co,Ni,Graphite,Mn,,"Li2CO3, LiOH","CoSO4, NiSO4",MnSO4,,Cathode,Anode,Electrolytes,Separators,,Battery cell
Argentina,Australia,Australia,Brazil,Australia,,Argentina,China,Australia,,China,China,China,China,,China
Australia,Canada,Brazil,Canada,Brazil,,Belgium,Germany,China,,Japan,Japan,Japan,Japan,,Germany
Brazil,China,Canada,China,China,,Canada,India,Germany,,Korea,Korea,Korea,Korea,,Hungary
Chile,Congo,China,India,Cote,,Chile,Indonesia,Indonesia,,USA,,,,,Japan
China,Cuba,Indonesia,Madagascar,Gabon,,China,Japan,Netherlands,,,,,,,Korea
Portugal,Indonesia,Philippines,Mozambique,Ghana,,Germany,Korea,USA,,,,,,,Poland
Zimbabwe,Madagascar,Russia,North Korea,India,,Korea,Netherlands,,,,,,,,
,Morocco,USA,Norway,Malaysia,,Russia,Russia,,,,,,,,
,Papua New Guinea,,Russia,South Africa,,USA,USA,,,,,,,,
,Philippines,,Sri Lanka,Ukraine,,,,,,,,,,,
,Russia,,Ukraine,,,,,,,,,,,,
,USA,,Vietnam,,,,,,,,,,,,
